Description,Value,Timing,Start,End,RL_PVR,LL_PVR,RA_DET1,RA_BLD1,RA_OCS1,LA_DET1,LA_BLD1,LA_OCS1,RL_DET1,RL_BLD1,RL_OCS1,RL_DET2,RL_BLD2,RL_OCS2,LL_DET1,LL_BLD1,LL_OCS1,LL_DET2,LL_BLD2,LL_OCS2,TRADET,TRAOCC,TLADET,TLAOCC,TRLDET,TRLOCC,TLLDET,TLLOCC,
Serial,771AX0A00095-11,STDA_Idle,0,0,71.91096,74.7874,51.1843,0,182,50.76676,0,177,39.11936,0,129,,,,41.46235,0,86,,,,0,0,0.3685302,0,0,1.575597,0,0,
LAPres,177,STDA_InitialInflate,1134,2120,72.73074,73.59882,51.16123,0,1,50.76097,99.78,1,39.12011,99.78,1,,,,41.47165,99.78,1,,,,0,0,0.356389,0,0,1.563523,0,0,
RAPres,182,STDA_InitialPresHold,2120,2557,73.48463,73.0628,51.16848,0,0,50.77647,99.26666,0,39.10912,99.26666,41,,,,41.46682,99.26666,42,,,,0,0,0.3698377,0,0,1.548662,0,0,
LLPres,86,STDA_InitialTopUp,2659,2984,73.23133,72.31501,51.18727,0,936,50.72585,98.58222,1109,39.10912,98.58222,1469,,,,41.45287,98.58222,2741,,,,0,0,0.382726,0,0,1.540489,0,0,
RLPres,129,STDA_AR_Init,3489,4491,72.28115,70.83047,51.17592,0,936,50.76751,97.88963,1109,39.10371,97.88963,1469,,,,41.48318,98.10963,2741,,,,0,0,0.3752545,0,0,1.572625,0,0,
LABI,0.4725275,STDA_Arm_TopUp,4593,4825,71.96381,69.93447,51.17369,0,1,50.77797,97.25951,1,39.11806,97.4795,1,,,,41.45882,97.55283,1,,,,0,0,0.371332,0,0,1.545876,0,0,
RABI,0.7087912,STDA_Arm_Inflate,5229,8625,71.7269,69.83631,51.17388,0,0,50.75107,96.59045,0,39.12551,96.88378,41,,,,41.4789,96.98156,42,,,,0,0,0.3565758,0,0,1.563709,0,0,
CALa_LAD__(V4),550506,STDA_Arm_Deflate,8828,13053,70.74865,69.14615,51.16718,0,0,50.76004,95.92653,0,39.12383,96.31763,0,,,,41.48634,96.228,0,,,,0,0,0.356389,0,0,1.574111,0,0,
CALa_LAO__(V6),554284,STDA_Arm_ProcessWait,13053,13256,70.33538,67.5536,51.1709,0,0,50.76321,95.27216,0,39.13892,95.57364,0,,,,41.47611,95.8208,0,,,,0,0,0.3505987,0,0,1.560736,0,0,
CALa_RAD__(V5),552818,STDA_Arm_Process,13256,15536,71.10253,66.14297,51.17834,0,0,50.73986,94.60972,0,39.127,95.15835,0,,,,41.48838,95.46346,0,,,,0,0,0.3548948,0,0,1.540675,0,0,
CALa_RAO__(V6),554284,STDA_PVR,0,0,71.45156,65.64564,51.18113,0,0,50.75294,93.94947,0,39.14041,94.58321,0,,,,41.48912,95.17741,0,,,,0,0,0.357323,0,0,1.548662,0,0,
CALa_LLD__(V1),550089,STDA_AnkleWait,0,0,71.55226,65.76577,51.1843,0,212.196,50.7281,93.51045,212.196,39.13575,94.00507,178.5431,,,,41.48634,94.82722,179.1385,,,,0,0,0.3638605,0,0,1.567424,0,0,
CALa_LLO__(V0),560435,STDA_AnkleCommon,0,0,70.9336,65.73796,51.1655,0,212.1789,50.73912,92.92321,212.1789,39.12476,93.26221,178.5317,,,,41.48095,94.27602,179.1272,,,,0,0,0.3668491,0,0,1.539746,0,0,
CALa_RLD__(V3),553544,STDA_P1_Inflate,0,0,70.29436,64.82947,51.17667,0,212.1632,50.75107,92.36105,212.1632,39.14339,92.85016,178.5202,,,,41.49229,93.66022,179.1161,,,,0,0,0.356389,0,0,1.563709,0,0,
CALa_RLO__(V2),554261,STDA_P1_DeflateWait,0,0,70.88222,64.12248,51.17388,0,212.1487,50.73781,91.83157,212.1487,39.11638,92.27248,178.5087,,,,41.48912,92.93449,179.1048,,,,0,0,0.3541476,0,0,1.557764,0,0,
CALp_LAD__(V4),1888931,STDA_P1_Deflate,0,0,70.93767,64.18356,51.1655,0,212.1348,50.74061,91.27194,212.1348,39.13743,91.69495,178.4974,,,,41.50251,92.52357,179.0936,,,,0,0,0.3588173,0,0,1.554792,0,0,
CALp_LAO__(V6),1900288,STDA_P1_OccVent,0,0,71.36954,64.05115,51.16792,0,212.1213,50.73837,90.72152,212.1213,39.11936,91.17252,178.486,,,,41.48318,91.93942,179.082,,,,0,0,0.3638605,0,0,1.558322,0,0,
CALp_RAD__(V5),1896785,STDA_P1_Process,0,0,72.22749,64.6193,51.1469,0,212.1078,50.73183,89.95501,212.1078,39.10744,90.61331,178.4744,,,,41.50251,91.36583,179.0706,,,,0,0,0.3944935,0,0,1.55925,0,0,
CALp_RAO__(V6),1900288,STDA_P2_InitialInf,0,0,72.59126,65.64376,51.15155,0,212.0944,50.72884,89.32949,212.0944,39.11266,90.06026,178.463,,,,41.49898,90.62294,179.059,,,,0,0,0.3812317,0,0,1.54569,0,0,
CALp_LLD__(V1),1894833,STDA_P2_Inflate,0,0,73.10366,65.65286,51.17667,0,212.081,50.72866,88.90201,212.081,39.12532,89.51537,178.4517,,,,41.50102,89.9894,179.0475,,,,0,0,0.3556419,0,0,1.565195,0,0,
CALp_LLO__(V0),1904693,STDA_P2_DeflateWait,0,0,74.0388,65.85675,51.1603,0,212.0675,50.75182,88.2955,212.0675,39.11489,88.96297,178.4403,,,,41.49377,89.55939,179.0363,,,,0,0,0.3638605,0,0,1.551077,0,0,
CALp_RLD__(V3),1895648,STDA_P2_Deflate,0,0,73.94313,66.14002,51.15751,0,212.0539,50.74509,87.74233,212.0539,39.10762,88.41286,178.4292,,,,41.50697,89.17724,179.0249,,,,0,0,0.3780563,0,0,1.541232,0,0,
CALp_RLO__(V2),1900100,STDA_P2_OccVent,0,0,73.9304,66.81923,51.17983,0,212.0401,50.73837,86.99328,212.0401,39.11191,87.64374,178.4178,,,,41.52631,88.69534,179.0135,,,,0,0,0.3700245,0,0,1.547176,0,0,
CALo_LAD__(V4),1994,STDA_P2_Process,0,0,75.32719,67.57603,51.19471,0,212.0267,50.72287,86.35704,212.0267,39.13277,87.01986,178.4065,,,,41.52482,88.26398,179.002,,,,0,0,0.3745074,0,0,1.55182,0,0,
CALo_LAO__(V6),-6040,STDA_AnkEmergOccVent,0,0,75.86483,67.21518,51.1856,0,212.0133,50.71838,85.71088,212.0133,39.11806,86.37215,178.3951,,,,41.54583,87.61218,178.9907,,,,0,0,0.3789902,0,0,1.567981,0,0,
CALo_RAD__(V5),-6883,STDA_AnkEmergDetVent,0,0,75.31641,66.85732,51.1709,0,211.9998,50.7436,85.03374,211.9998,39.12551,85.69192,178.3836,,,,41.50994,87.0905,178.979,,,,0,0,0.3847806,0,0,1.563523,0,0,
CALo_RAO__(V6),-6040,STDA_Abort,0,0,74.59614,66.92808,51.16197,0,211.9866,50.71838,84.38055,211.9866,39.12979,85.04131,178.372,,,,41.50864,86.33556,178.9678,,,,0,0,0.362553,0,0,1.542904,0,0,
CALo_LLD__(V1),-4700,STDA_Complete,15536,0,72.99036,66.74342,51.17462,0,211.9734,50.72884,83.94173,211.9734,39.12234,84.3818,178.3607,,,,41.51905,85.69275,178.9563,,,,0,0,0.3692773,0,0,1.532501,0,0,
