Description,Value,Timing,Start,End,RL_PVR,LL_PVR,RA_DET1,RA_BLD1,RA_OCS1,LA_DET1,LA_BLD1,LA_OCS1,RL_DET1,RL_BLD1,RL_OCS1,RL_DET2,RL_BLD2,RL_OCS2,LL_DET1,LL_BLD1,LL_OCS1,LL_DET2,LL_BLD2,LL_OCS2,TRADET,TRAOCC,TLADET,TLAOCC,TRLDET,TRLOCC,TLLDET,TLLOCC,
Serial,771AX0A00095-11,STDA_Idle,0,0,71.35806,68.30987,51.70533,0,137,51.9084,0,133,40.86308,0,89,,,,40.58152,0,92,,,,0,0,0.1770738,0,0,1.353431,0,0,
LAPres,133,STDA_InitialInflate,1115,2133,70.49499,66.41357,51.68542,0,1,51.90934,99.78,1,40.85022,99.78,1,,,,40.57427,99.78,1,,,,0,0,0.1496162,0,0,1.327239,0,0,
RAPres,137,STDA_InitialPresHold,2133,2516,69.55876,65.78857,51.69007,0,0,51.91139,99.26666,0,40.8519,99.26666,42,,,,40.55568,99.26666,42,,,,0,0,0.1608234,0,0,1.357146,0,0,
LLPres,92,STDA_InitialTopUp,2618,2857,68.65246,66.02483,51.70998,0,840,51.89719,98.80222,967,40.86736,98.58222,2582,,,,40.57408,98.58222,2521,,,,0,0,0.163812,0,0,1.342285,0,0,
RLPres,89,STDA_AR_Init,3362,4364,67.54861,67.37081,51.67947,0,840,51.89887,98.18296,967,40.8452,98.10963,2582,,,,40.57129,97.88963,2521,,,,0,0,0.1636252,0,0,1.354917,0,0,
LABI,0.6715329,STDA_Arm_TopUp,4466,4609,66.4399,69.88815,51.67947,0,1,51.89066,97.87061,1,40.85321,97.55283,1,,,,40.59044,97.25951,1,,,,0,0,0.1473747,0,0,1.355474,0,0,
RABI,0.649635,STDA_Arm_Inflate,5013,7353,66.91998,73.62022,51.67352,0,0,51.87945,97.18526,0,40.84054,97.20156,42,,,,40.5778,96.81045,42,,,,0,0,0.1615705,0,0,1.333369,0,0,
CALa_LAD__(V4),550506,STDA_Arm_Deflate,7556,9710,67.14281,77.29281,51.66236,0,0,51.88468,96.64628,0,40.8465,96.52134,0,,,,40.59137,96.21986,0,,,,0,0,0.1673609,0,0,1.357146,0,0,
CALa_LAO__(V6),554284,STDA_Arm_ProcessWait,9710,9913,66.55129,80.29482,51.6551,0,0,51.866,95.91405,0,40.84743,95.99191,0,,,,40.59267,95.88327,0,,,,0,0,0.1361675,0,0,1.348044,0,0,
CALa_RAD__(V5),552818,STDA_Arm_Process,9913,14063,66.30404,82.78329,51.65064,0,0,51.87328,95.26186,0,40.85097,95.2516,0,,,,40.59118,95.42452,0,,,,0,0,0.1434522,0,0,1.330954,0,0,
