Description,Value,Timing,Start,End,RL_PVR,LL_PVR,RA_DET1,RA_BLD1,RA_OCS1,LA_DET1,LA_BLD1,LA_OCS1,RL_DET1,RL_BLD1,RL_OCS1,RL_DET2,RL_BLD2,RL_OCS2,LL_DET1,LL_BLD1,LL_OCS1,LL_DET2,LL_BLD2,LL_OCS2,TRADET,TRAOCC,TLADET,TLAOCC,TRLDET,TRLOCC,TLLDET,TLLOCC,
Serial,771AX0A00095-11,STDA_Idle,0,0,59.60379,68.50774,52.25687,0,143,53.44528,0,146,43.95598,0,120,,,,43.84143,0,99,,,,0,0,0,0,0,0.8177055,0,0,
LAPres,146,STDA_InitialInflate,1360,2329,59.69518,66.20685,52.24961,0,1,53.45724,99.78,1,43.96716,99.78,1,,,,43.85333,99.78,1,,,,0,0,0,0,0,0.8455692,0,0,
RAPres,143,STDA_InitialPresHold,2329,2635,59.39445,63.79227,52.27937,0,0,53.43557,99.26666,0,43.97014,99.26666,41,,,,43.85035,99.26666,42,,,,0,0,0,0,0,0.8236498,0,0,
LLPres,99,STDA_InitialTopUp,2737,2958,58.38352,62.6414,52.25184,0,932,53.43632,98.58222,841,43.97219,98.58222,1714,,,,43.85035,98.80222,2336,,,,0,0,0,0,0,0.8368386,0,0,
RLPres,120,STDA_AR_Init,3463,4465,57.30143,61.76628,52.26003,0,932,53.46247,97.88963,841,43.95207,98.10963,1714,,,,43.85686,98.18296,2336,,,,0,0,0,0,0,0.8368386,0,0,
LABI,0.6780822,STDA_Arm_TopUp,4567,4670,56.09593,60.40041,52.27175,0,1,53.46471,97.4795,1,43.95952,97.55283,1,,,,43.86058,97.87061,1,,,,0,0,0,0,0,0.8190058,0,0,
RABI,0.8219178,STDA_Arm_Inflate,5074,7628,55.2006,58.12598,52.2511,0,0,53.46321,96.88378,0,43.96642,97.20156,41,,,,43.86876,97.18526,42,,,,0,0,0,0,0,0.8353525,0,0,
CALa_LAD__(V4),550506,STDA_Arm_Deflate,7831,9866,54.01192,55.81446,52.27249,0,0,53.45555,96.31763,0,43.9463,96.52134,0,,,,43.87397,96.86628,0,,,,0,0,0,0,0,0.8368386,0,0,
CALa_LAO__(V6),554284,STDA_Arm_ProcessWait,9866,10069,52.82751,54.83609,52.26505,0,0,53.45724,95.57364,0,43.95505,95.99191,0,,,,43.84199,96.20738,0,,,,0,0,0,0,0,0.8100895,0,0,
CALa_RAD__(V5),552818,STDA_Arm_Process,10069,14344,52.4734,54.748,52.25035,0,0,53.45499,94.93835,0,43.96697,95.2516,0,,,,43.86653,95.65298,0,,,,0,0,0,0,0,0.821978,0,0,
CALa_RAO__(V6),554284,STDA_PVR,0,0,52.06765,54.48103,52.27324,0,0,53.43407,94.28988,0,43.9463,94.60162,0,,,,43.85854,94.92221,0,,,,0,0,0,0,0,0.8347952,0,0,
