Description,Value,Timing,Start,End,RL_PVR,LL_PVR,RA_DET1,RA_BLD1,RA_OCS1,LA_DET1,LA_BLD1,LA_OCS1,RL_DET1,RL_BLD1,RL_OCS1,RL_DET2,RL_BLD2,RL_OCS2,LL_DET1,LL_BLD1,LL_OCS1,LL_DET2,LL_BLD2,LL_OCS2,TRADET,TRAOCC,TLADET,TLAOCC,TRLDET,TRLOCC,TLLDET,TLLOCC,
CALo_LAD__(V4),-1053,STDA_P2_Process,0,0,67.35157,45.15245,55.304,0,193.3035,52.51863,86.65308,193.3035,42.33763,88.28513,179.9588,,,,42.72988,87.92449,179.8405,43.14056,86.75146,229.3661,0,0,0,0,0,0.9512653,0,0,
CALo_LAO__(V6),-7761,STDA_AnkEmergOccVent,0,0,66.97847,42.41016,55.31684,0,193.2935,52.5007,86.3112,193.2935,42.30857,87.62447,179.9504,,,,42.73434,87.5659,179.8402,43.15821,86.22051,229.3553,0,0,0,0,0,0.9260023,0,0,
CALo_RAD__(V5),-8791,STDA_AnkEmergDetVent,0,0,67.01635,40.55989,55.30939,0,193.2832,52.49043,85.63483,193.2832,42.33986,87.07526,179.9425,,,,42.73156,87.23453,179.8398,43.15617,85.6625,229.3445,0,0,0,0,0,0.973742,0,0,
CALo_RAO__(V6),-7761,STDA_Abort,0,0,66.7681,38.87626,55.304,0,193.2731,52.51434,85.0997,193.2731,42.34433,86.56162,179.9347,,,,42.72337,86.91497,179.8393,43.15022,85.11149,229.3337,0,0,0,0,0,0.9468071,0,0,
CALo_LLD__(V1),-6430,STDA_Complete,22400,0,66.03622,38.16743,55.30772,0,193.2634,52.50743,84.58191,193.2634,42.33446,85.98711,179.9269,,,,42.72839,86.57846,179.8385,43.14409,84.34483,229.323,0,0,0,0,0,0.9564666,0,0,
CALo_LLO__(V0),-14451,STDA_CalibrateAtmos,0,0,65.13582,37.20448,55.31609,0,193.2533,52.50444,84.22548,193.2533,42.34638,85.66133,179.9189,,,,42.71222,86.24931,179.8373,43.14855,83.7196,229.3121,0,0,0,0,0,0.9066835,0,0,
CALo_RLD__(V3),-7003,STDA_CalibrateHold,0,0,64.66674,35.3063,55.30716,0,193.2433,52.50817,83.75569,193.2433,42.32254,84.97002,179.9109,,,,42.72988,85.92091,179.8351,43.14502,83.07198,229.3012,0,0,0,0,0,0.9482932,0,0,
CALo_RLO__(V2),5063,STDA_CalibrateMax,0,0,64.81795,33.91756,55.29005,0,193.2334,52.51434,83.08769,193.2334,42.35253,84.65948,179.903,,,,42.71278,85.58956,179.8325,43.13963,82.61214,229.2901,0,0,0,0,0,0.9336184,0,0,
Type,Normal,STDA_ADCTest,0,0,64.94155,33.98024,55.31219,0,193.2238,52.49846,82.36962,193.2238,42.34285,83.99695,179.895,,,,42.71873,85.25993,179.8286,43.13535,82.03457,229.279,0,0,0,0,0,0.9393768,0,0,
Ability,V2.240,STDA_AutoZero,1,257,65.26437,33.93827,55.30716,0,193.2142,52.52853,81.971,193.2142,42.33577,83.44215,179.887,,,,42.72021,84.93013,179.8229,43.11899,81.47289,229.2679,0,0,0,0,0,0.9544232,0,0,
DataViewer,0.047,STDA_AutoZeroComplete,257,1129,66.95127,34.49469,55.31814,0,193.2048,52.50294,81.37611,193.2048,42.35178,82.71286,179.8788,,,,42.71891,84.59987,179.8158,43.13684,80.93987,229.2565,0,0,0,0,0,0.9371477,0,0,
,,STDA_FT_DivertTest,0,0,68.73138,36.38916,55.32204,0,193.1955,52.48501,80.80557,193.1955,42.3488,82.06399,179.8708,,,,42.71371,84.04997,179.8073,43.13832,80.38244,229.2454,0,0,0,0,0,0.9432778,0,0,
,,STDA_FT_DivertSettle,0,0,69.17805,40.3956,55.28335,0,193.1863,52.4852,80.06422,193.1863,42.3218,81.41967,179.8629,,,,42.7098,83.42666,179.7969,43.13219,80.05173,229.2345,0,0,0,0,0,0.9336184,0,0,
,,STDA_FT_AutoZeroWait,0,0,69.14785,46.28803,55.3107,0,193.177,52.5121,79.64864,193.177,42.33893,80.96551,179.8547,,,,42.71947,82.7055,179.7853,43.14632,79.35801,229.2233,0,0,0,0,0,0.943092,0,0,
,,STDA_FT_PreVentWait,0,0,68.96041,52.89469,55.30344,0,193.1677,52.47548,79.07281,193.1677,42.30634,80.38306,179.8465,,,,42.70999,82.07404,179.7724,43.11899,78.83073,229.2123,0,0,0,0,0,0.9521941,0,0,
,,STDA_FT_DumpVent,0,0,69.06235,61.67196,55.30846,0,193.1585,52.4865,78.49522,193.1585,42.31509,80.04274,179.8383,,,,42.72096,81.4154,179.7584,43.14799,78.31348,229.2018,0,0,0,0,0,0.9351044,0,0,
