Description,Value,Timing,Start,End,RL_PVR,LL_PVR,RA_DET1,RA_BLD1,RA_OCS1,LA_DET1,LA_BLD1,LA_OCS1,RL_DET1,RL_BLD1,RL_OCS1,RL_DET2,RL_BLD2,RL_OCS2,LL_DET1,LL_BLD1,LL_OCS1,LL_DET2,LL_BLD2,LL_OCS2,TRADET,TRAOCC,TLADET,TLAOCC,TRLDET,TRLOCC,TLLDET,TLLOCC,
Serial,771AX0A00095-11,STDA_Idle,0,0,66.84604,95.93005,53.63227,0,173,49.39761,0,170,39.92314,0,76,,,,40.11266,0,0,42.34672,0,173,0,0,0,0,0,0.8682317,0,0,
LAPres,170,STDA_InitialInflate,1155,2141,67.39955,95.73804,53.63208,0,1,49.38771,99.78,1,39.90916,99.78,1,,,,40.12009,99.78,4,42.35472,99.78,1,0,0,0,0,0,0.8860644,0,0,
RAPres,173,STDA_InitialPresHold,2141,2526,68.38197,96.12126,53.64269,0,0,49.38995,99.26666,0,39.93357,99.26666,41,,,,40.11117,99.26666,41,42.35844,99.26666,42,0,0,0,0,0,0.8747332,0,0,
LLPres,173,STDA_InitialTopUp,2628,2856,69.69398,96.44279,53.62855,0,1027,49.38865,98.58222,1107,39.9291,98.58222,3091,,,,40.11805,98.58222,0,42.34282,98.58222,1581,0,0,0,0,0,0.8704607,0,0,
RLPres,76,STDA_AR_Init,3361,4363,70.46351,97.38206,53.62632,0,1027,49.378,97.88963,1107,39.92202,97.88963,3091,,,,40.12251,97.88963,0,42.34356,98.10963,1581,0,0,0,0,0,0.8821635,0,0,
LABI,1,STDA_Arm_TopUp,4465,4617,70.97353,97.54848,53.62167,0,1,49.37949,97.25951,1,39.9263,97.4795,1,,,,40.12753,97.4795,1,42.33836,97.55283,1,0,0,0,0,0,0.8539283,0,0,
RABI,0.4393063,STDA_Arm_Inflate,5021,8182,71.94871,95.80132,53.60474,0,0,49.38099,96.59045,0,39.93077,96.88378,41,,,,40.12232,96.88378,41,42.34282,96.98156,42,0,0,0,0,0,0.8747332,0,0,
CALa_LAD__(V4),550506,STDA_Arm_Deflate,8385,12096,73.42888,93.9819,53.60474,0,0,49.37501,95.92653,0,39.92612,96.31763,0,,,,40.12679,96.53764,0,42.33482,96.228,0,0,0,0,0,0,0.8645165,0,0,
CALa_LAO__(V6),554284,STDA_Arm_ProcessWait,12096,12299,73.59734,92.76632,53.58465,0,0,49.37128,95.49216,0,39.93059,95.79364,0,,,,40.13069,96.08697,0,42.34951,95.6008,0,0,0,0,0,0,0.8817919,0,0,
CALa_RAD__(V5),552818,STDA_Arm_Process,12299,22821,73.28088,90.16096,53.59786,0,0,49.36679,95.12305,0,39.93878,95.23168,0,,,,40.11656,95.6228,0,42.3497,94.95012,0,0,0,0,0,0,0.8808631,0,0,
