Description,Value,Timing,Start,End,RL_PVR,LL_PVR,RA_DET1,RA_BLD1,RA_OCS1,LA_DET1,LA_BLD1,LA_OCS1,RL_DET1,RL_BLD1,RL_OCS1,RL_DET2,RL_BLD2,RL_OCS2,LL_DET1,LL_BLD1,LL_OCS1,LL_DET2,LL_BLD2,LL_OCS2,TRADET,TRAOCC,TLADET,TLAOCC,TRLDET,TRLOCC,TLLDET,TLLOCC,
Serial,771AX0A00095-11,STDA_Idle,0,0,66.1149,59.37953,49.47685,0,110,51.38839,0,112,43.45602,0,146,,,,41.87619,0,92,,,,0,0,0.3892635,0,0,1.573925,0,0,
LAPres,112,STDA_InitialInflate,1095,1766,66.17135,58.24731,49.48131,0,1,51.36018,99.78,1,43.45602,99.78,1,,,,41.8615,99.78,1,,,,0,0,0.3834731,0,0,1.587486,0,0,
RAPres,110,STDA_InitialPresHold,1766,2002,65.74339,57.75445,49.49601,0,0,51.38092,99.26666,0,43.47092,99.26666,42,,,,41.86448,99.26666,41,,,,0,0,0.407195,0,0,1.597702,0,0,
LLPres,92,STDA_InitialTopUp,2104,2238,64.88391,57.57719,49.48931,0,1134,51.35103,98.58222,1080,43.44559,98.58222,1018,,,,41.87712,98.58222,2597,,,,0,0,0.3728263,0,0,1.603647,0,0,
RLPres,146,STDA_AR_Init,2743,3745,64.33017,57.51774,49.50512,0,1134,51.35421,97.88963,1080,43.4469,97.88963,1018,,,,41.86448,97.88963,2597,,,,0,0,0.4042065,0,0,1.620922,0,0,
LABI,0.8214286,STDA_Arm_TopUp,3847,3969,63.41785,56.71937,49.47536,0,1,51.35271,97.25951,1,43.44857,97.25951,1,,,,41.86373,97.25951,1,,,,0,0,0.3892635,0,0,1.620365,0,0,
RABI,1.303571,STDA_Arm_Inflate,4373,6398,62.27207,56.24883,49.49154,0,0,51.36765,96.59045,0,43.45956,96.81045,42,,,,41.84941,96.59045,41,,,,0,0,0.3937464,0,0,1.614049,0,0,
CALa_LAD__(V4),550506,STDA_Arm_Deflate,6601,8697,61.42909,56.73005,49.49377,0,0,51.37942,95.92653,0,43.46049,96.21986,0,,,,41.85537,95.92653,0,,,,0,0,0.4073818,0,0,1.627424,0,0,
CALa_LAO__(V6),554284,STDA_Arm_ProcessWait,8697,8900,61.10455,56.99978,49.48857,0,0,51.37363,95.49216,0,43.46254,95.88327,0,,,,41.8695,95.27216,0,,,,0,0,0.408129,0,0,1.631882,0,0,
CALa_RAD__(V5),552818,STDA_Arm_Process,8900,13184,60.31721,58.52128,49.48578,0,0,51.36373,95.12305,0,43.49309,95.20452,0,,,,41.85109,94.60972,0,,,,0,0,0.4243794,0,0,1.624637,0,0,
CALa_RAO__(V6),554284,STDA_PVR,0,0,58.85372,59.08913,49.49303,0,0,51.38409,94.85391,0,43.4454,94.88921,0,,,,41.86299,93.94947,0,,,,0,0,0.4079422,0,0,1.621479,0,0,
CALa_LLD__(V1),550089,STDA_AnkleWait,0,0,56.8892,59.26248,49.46104,0,146.7387,51.37662,94.49637,146.7387,43.45006,94.22567,180.2325,,,,41.85406,93.29045,180.8284,,,,0,0,0.3952407,0,0,1.615721,0,0,
CALa_LLO__(V0),560435,STDA_AnkleCommon,0,0,56.18398,60.11546,49.4642,0,146.7327,51.38708,94.16444,146.7327,43.47074,93.89314,180.2233,,,,41.8563,92.84988,180.8181,,,,0,0,0.4103704,0,0,1.620179,0,0,
