Description,Value,Timing,Start,End,RL_PVR,LL_PVR,RA_DET1,RA_BLD1,RA_OCS1,LA_DET1,LA_BLD1,LA_OCS1,RL_DET1,RL_BLD1,RL_OCS1,RL_DET2,RL_BLD2,RL_OCS2,LL_DET1,LL_BLD1,LL_OCS1,LL_DET2,LL_BLD2,LL_OCS2,TRADET,TRAOCC,TLADET,TLAOCC,TRLDET,TRLOCC,TLLDET,TLLOCC,
Serial,771AX0A00095-11,STDA_Idle,0,0,75.52523,74.09534,52.62574,0,178,49.80014,0,175,43.61827,0,0,43.97908,0,199,44.62968,0,0,43.93197,0,188,0,0,0,0,0,0,0,0,
LAPres,175,STDA_InitialInflate,1097,1964,85.92428,85.57362,52.63634,0,1,49.81713,99.78,1,43.63187,99.78,5,43.99789,99.78,1,44.62876,99.78,5,43.95521,99.78,1,0,0,0,0,0,0,0,0,
RAPres,178,STDA_InitialPresHold,1964,2306,95.43609,96.42268,52.63764,0,0,49.79622,99.26666,0,43.62516,99.48666,26,44.00441,99.26666,42,44.62745,99.26666,26,43.95279,99.26666,41,0,0,0,0,0,0,0,0,
LLPres,188,STDA_InitialTopUp,2408,2650,103.4227,104.9406,52.64601,0,680,49.80518,98.80222,755,43.61268,98.87555,0,44.03217,98.58222,898,44.62206,98.58222,0,43.93736,98.80222,1200,0,0,0,0,0,0,0,0,
RLPres,199,STDA_AR_Init,3155,4157,110.168,112.4214,52.63262,0,680,49.8091,98.18296,755,43.62367,98.28074,0,44.02751,97.88963,898,44.62076,97.88963,0,43.94833,98.40295,1200,0,0,0,0,0,0,0,0,
LABI,1.05618,STDA_Arm_TopUp,4259,4445,116.3998,118.636,52.64452,0,1,49.81041,97.65061,1,43.60504,97.56098,2,44.02174,97.25951,1,44.63619,97.25951,2,43.94461,97.94394,1,0,0,0,0,0,0,0,0,
RABI,1.117977,STDA_Arm_Inflate,4849,7991,120.8042,124.2847,52.64136,0,0,49.82386,96.89193,0,43.63876,97.13909,26,44.01578,96.59045,42,44.60589,96.59045,26,43.94201,97.28304,41,0,0,0,0,0,0,0,0,
CALa_LAD__(V4),550506,STDA_Arm_Deflate,8194,11906,123.8946,129.3301,52.63987,0,0,49.83059,96.25517,0,43.63187,96.56027,0,44.02006,95.92653,0,44.60645,95.92653,0,43.94182,96.55664,0,0,0,0,0,0,0,0,0,
CALa_LAO__(V6),554284,STDA_Arm_ProcessWait,11906,12109,127.4118,132.5772,52.62685,0,0,49.80611,95.61257,0,43.61473,95.98678,2,44.01783,95.27216,0,44.61314,95.49216,2,43.95279,96.1612,0,0,0,0,0,0,0,0,0,
CALa_RAD__(V5),552818,STDA_Arm_Process,12109,23640,130.1413,134.4555,52.65401,0,0,49.78669,94.93322,0,43.61342,95.24205,26,44.03143,94.82971,0,44.61091,94.90305,26,43.92546,95.56696,0,0,0,0,0,0,0,0,0,
CALa_RAO__(V6),554284,STDA_PVR,0,0,131.8972,136.2994,52.6408,0,0,49.78202,94.28032,0,43.60076,94.6097,2890,44.00739,94.2428,0,44.62076,94.34058,3046,43.93792,94.99493,0,0,0,0,0,0,0,0,0,
CALa_LLD__(V1),550089,STDA_AnkleWait,0,0,131.8856,138.1731,52.65271,0,199.2167,49.78725,93.84203,199.2167,43.6246,93.95951,178.0871,43.97703,93.68156,227.7698,44.62225,93.59193,178.1186,43.94703,94.47437,227.7016,0,0,0,0,0,0,0,0,
CALa_LLO__(V0),560435,STDA_AnkleCommon,0,0,130.8516,138.0829,52.64378,0,199.2026,49.76129,93.25185,199.2026,43.6192,93.28375,178.075,43.97182,93.15135,227.7551,44.61927,93.17851,178.1068,43.92844,93.91209,227.6861,0,0,0,0,0,0,0,0,
CALa_RLD__(V3),553544,STDA_P1_Inflate,0,0,129.818,137.498,52.64304,0,199.1884,49.7865,92.9114,199.1884,43.59089,92.63099,178.0632,43.95673,92.5919,227.7403,44.62206,92.60367,178.095,43.93271,93.36046,227.6706,0,0,0,0,0,0,0,0,
