Description,Value,Timing,Start,End,RL_PVR,LL_PVR,RA_DET1,RA_BLD1,RA_OCS1,LA_DET1,LA_BLD1,LA_OCS1,RL_DET1,RL_BLD1,RL_OCS1,RL_DET2,RL_BLD2,RL_OCS2,LL_DET1,LL_BLD1,LL_OCS1,LL_DET2,LL_BLD2,LL_OCS2,TRADET,TRAOCC,TLADET,TLAOCC,TRLDET,TRLOCC,TLLDET,TLLOCC,
Serial,771AX0A00095-11,STDA_Idle,0,0,52.34299,54.29243,51.45644,0,143,50.9048,0,143,43.8988,0,160,47.81448,0,167,41.25879,0,161,,,,0,0,0,0,0,0,0,0,
LAPres,143,STDA_InitialInflate,1216,2185,51.05733,53.26599,51.46611,0,1,50.90405,99.78,1,43.89582,99.78,2,47.80013,99.78,1,41.25079,99.78,1,,,,0,0,0,0,0,0,0,0,
RAPres,143,STDA_InitialPresHold,2185,2596,50.79852,52.92495,51.45848,0,0,50.91171,99.26666,0,43.89656,99.26666,22,47.80256,99.26666,42,41.26473,99.26666,42,,,,0,0,0,0,0,0,0,0,
LLPres,161,STDA_InitialTopUp,2698,2978,50.7104,52.76645,51.45625,0,1261,50.90125,98.58222,1255,43.88036,98.58222,467,47.79958,98.58222,1637,41.26641,98.58222,485,,,,0,0,0,0,0,0,0,0,
RLPres,167,STDA_AR_Init,3483,4485,50.38766,52.58785,51.43337,0,1261,50.90928,97.88963,1255,43.89656,97.88963,461,47.80703,97.88963,1637,41.27012,97.88963,486,,,,0,0,0,0,0,0,0,0,
LABI,1.125874,STDA_Arm_TopUp,4587,4799,49.31261,53.07627,51.45551,0,1,50.91171,97.25951,1,43.89209,97.25951,2,47.79659,97.25951,1,41.25879,97.25951,2,,,,0,0,0,0,0,0,0,0,
RABI,1.167832,STDA_Arm_Inflate,5203,8125,47.31362,53.55827,51.45104,0,0,50.88313,96.59045,0,43.86769,96.59045,26,47.80106,96.59045,42,41.26324,96.59045,26,,,,0,0,0,0,0,0,0,0,
CALa_LAD__(V4),550506,STDA_Arm_Deflate,8328,11522,46.32692,53.80922,51.45718,0,0,50.90125,96.14653,0,43.89507,95.92653,467,47.79417,95.92653,0,41.27068,95.92653,485,,,,0,0,0,0,0,0,0,0,
CALa_LAO__(V6),554284,STDA_Arm_ProcessWait,11522,11725,46.83139,54.28374,51.46537,0,0,50.88014,95.5655,0,43.87365,95.27216,2,47.80013,95.27216,0,41.27831,95.27216,1,,,,0,0,0,0,0,0,0,0,
CALa_RAD__(V5),552818,STDA_Arm_Process,11725,22916,47.15255,55.42221,51.46295,0,0,50.89079,95.00082,0,43.87663,94.60972,22,47.80982,94.60972,0,41.26194,94.60972,42,,,,0,0,0,0,0,0,0,0,
CALa_RAO__(V6),554284,STDA_PVR,0,0,46.54934,56.23403,51.43114,0,0,50.89882,94.47095,0,43.8811,93.94947,2829,47.79361,93.94947,0,41.27514,93.94947,2999,,,,0,0,0,0,0,0,0,0,
CALa_LLD__(V1),550089,STDA_AnkleWait,0,0,45.6901,55.62319,51.43244,0,184.3695,50.89882,93.91242,184.3695,43.8662,93.29045,175.3985,47.79343,93.29045,223.8321,41.26715,93.29045,176.3671,,,,0,0,0,0,0,0,0,0,
CALa_LLO__(V0),560435,STDA_AnkleCommon,0,0,45.64551,56.16297,51.45644,0,184.3519,50.90106,93.3614,184.3519,43.86676,92.62988,175.3781,47.79138,92.62988,223.8068,41.25879,92.62988,176.3487,,,,0,0,0,0,0,0,0,0,
